"city","latitude","longitude"
"Istanbul",41.01384,28.94966
"Moscow",55.75222,37.61556
"London",51.50853,-0.12574
"Saint Petersburg",59.93863,30.31413
"Berlin",52.52437,13.41053
"Madrid",40.4165,-3.70256
"Kyiv",50.45466,30.5238
"Rome",41.89193,12.51133
"Paris",48.85341,2.352
"Bucharest",44.43225,26.10626
"Hamburg",53.55073,9.99302
"Minsk",53.9,27.56667
"Budapest",47.49835,19.04045
"Warsaw",52.22977,21.01178
"Vienna",48.20849,16.37208
"Barcelona",41.38879,2.15899
"Stockholm",59.32938,18.06871
"Munich",48.13743,11.57549
"Prague",50.08804,14.42076
"Copenhagen",55.67594,12.56553
"Brussels",50.85045,4.34878
"Valencia",39.47391,-0.37966
"Lodz",51.77058,19.47395
"Krakow",50.06143,19.93658
"Riga",56.946,24.10589
"Amsterdam",52.37403,4.88969
