"","Istanbul","Moscow","London","Saint Petersburg","Berlin","Madrid","Kyiv","Rome","Paris","Bucharest","Hamburg","Minsk","Budapest","Warsaw","Vienna","Barcelona","Stockholm","Munich","Prague","Copenhagen","Brussels","Valencia","Lodz","Krakow","Riga","Amsterdam"
"Istanbul",0,1756.1368298156,2498.39097283995,2106.4449534556,1735.94798198386,2736.62680810759,1056.78989870178,1371.34857241184,2253.15571430279,445.389872304873,1985.22004448018,1436.57061661611,1067.42261633331,1384.72081163961,1274.44161227746,2232.80552396093,2172.51677993404,1582.56579936297,1511.10923732572,2019.95258905479,2179.41989454877,2483.50382450498,1396.94033858242,1224.81751781622,1805.37500115504,2210.94498993647
"Moscow",1756.1368298156,0,2500.2795414125,634.430920264603,1608.17153921349,3440.1018490149,754.944232358473,2375.13910154563,2486.31531198774,1498.51391536317,1781.62521914771,675.114836448775,1568.81449817878,1150.52641072405,1669.53464272378,3010.14434526198,1227.14267396597,1959.84940073634,1667.77888005577,1560.55345409224,2253.060144045,3312.61411422863,1267.50631216336,1338.57080345354,841.500388471734,2147.51553884285
"London",2498.39097283995,2500.2795414125,0,2098.9218354477,931.790719205091,1263.58038485878,2133.08891831309,1435.47480655007,343.887598382263,2091.22584208443,720.431528363627,1872.3838490088,1449.11484335687,1448.32010243838,1235.16174332683,1138.64446824283,1432.59843647213,917.956879240369,1032.69725982062,955.205988376128,320.314275038226,1338.33284253773,1348.78001268961,1415.03176220773,1676.16096904483,356.930636381355
"Saint Petersburg",2106.4449534556,634.430920264603,2098.9218354477,0,1324.38288660436,3189.93791973446,1054.65191552463,2346.30842620892,2164.05873062532,1747.06124731166,1419.85811827446,691.707437782814,1564.73696099394,1031.27679559915,1583.22115478311,2820.74146944737,690.655900132,1781.84700323983,1484.63632717319,1148.70336990936,1907.27650367227,3116.5760065081,1129.5521444341,1278.9773478622,490.817747674262,1769.44185500406
"Berlin",1735.94798198386,1608.17153921349,931.790719205091,1324.38288660436,0,1869.70420019338,1203.98739334243,1184.19775276043,878.198595636129,1294.74506839939,255.375783229313,953.316780685725,688.154897158367,516.773482688699,523.750256947556,1500.31871321263,809.937397221116,504.85144056997,279.853933175651,354.735820799339,651.308528414684,1793.57159608441,421.992961242296,529.72557169706,842.998580506149,577.358336182137
"Madrid",2736.62680810759,3440.1018490149,1263.58038485878,3189.93791973446,1869.70420019338,0,2862.58583781389,1365.27884602947,1052.56149440655,2472.88484813435,1785.62887257907,2765.26344968247,1974.09844556654,2289.76892791702,1809.38318795053,504.241641500271,2593.02064309604,1484.45443463407,1772.38182674967,2072.48004763745,1316.48893707354,302.016223944178,2172.76666115854,2125.69984933108,2712.66499129529,1481.49791293359
"Kyiv",1056.78989870178,754.944232358473,2133.08891831309,1054.65191552463,1203.98739334243,2862.58583781389,0,1675.32355497908,2023.56604035468,747.207092375355,1441.43611242842,432.836865464425,899.098261858269,688.969577172155,1053.67810972287,2395.1801550441,1263.9628451534,1393.98693374996,1142.93430271461,1327.81159542822,1836.18358764397,2694.0366042106,784.309505620824,753.277770090041,835.533619769998,1780.98083534532
"Rome",1371.34857241184,2375.13910154563,1435.47480655007,2346.30842620892,1184.19775276043,1365.27884602947,1675.32355497908,0,1106.78593741785,1136.76850252491,1309.79681968891,1736.98637767929,808.703124821011,1315.50261044213,764.798918823682,861.564099805764,1976.54885856974,698.337807379926,923.141902893026,1532.71700268806,1175.03264375338,1118.5569432546,1218.15662675961,1073.23980795241,1866.38706010024,1298.65250230078
"Paris",2253.15571430279,2486.31531198774,343.887598382263,2164.05873062532,878.198595636129,1052.56149440655,2023.56604035468,1106.78593741785,0,1870.28988074051,745.035805082638,1826.52301803486,1244.03195550087,1366.67476051914,1033.38397711936,830.165220063392,1543.85566166209,683.864646076849,881.803962452729,1026.8389804118,264.184112895955,1065.27790330019,1255.07738500291,1275.06576740593,1703.06365527538,430.412918746977
"Bucharest",445.389872304873,1498.51391536317,2091.22584208443,1747.06124731166,1294.74506839939,2472.88484813435,747.207092375355,1136.76850252491,1870.28988074051,0,1546.14143930362,1058.04585158122,643.421871410977,944.722630540133,856.469592078595,1972.08506704845,1742.95581090573,1187.93169317621,1081.13394837879,1574.56629070705,1770.91648394929,2247.75616372044,952.191221773624,779.603756434401,1398.42727418252,1788.37872939357
